USDT.com,active
Bitcoin.com,active
BTC.com,active
Ethereum.com,active
ETH.com,undelegated active
Tether.com,active
USDT.com,active
Bitcoin.com,active
BTC.com,active
Ethereum.com,active
ETH.com,undelegated active
Tether.com,active
USDT.com,active
Binance Coin.com,invalid
BNB.com,active
Cardano.com,active
ADA.com,active
XRP.com,active
XRP.com,active
Dogecoin.com,active
DOGE.com,marketed active
USD Coin.com,invalid
USDC.com,active
Polkadot.com,active
DOT.com,active
Uniswap.com,active
UNI.com,active
Binance USD.com,invalid
BUSD.com,active
Bitcoin Cash.com,invalid
BCH.com,active
Solana.com,marketed active
SOL.com,active
Litecoin.com,active
LTC.com,active
Chainlink.com,active
LINK.com,marketed priced active
Polygon.com,active
MATIC.com,active
Wrapped Bitcoin.com,invalid
WBTC.com,active
THETA.com,active
THETA.com,active
Ethereum Classic.com,invalid
ETC.com,active
Stellar.com,active
XLM.com,active
Internet Computer.com,invalid
ICP.com,active
Dai.com,active
DAI.com,active
VeChain.com,active
VET.com,active
Filecoin.com,active
FIL.com,active
TRON.com,active
TRX.com,marketed priced active
Aave.com,active
AAVE.com,active
Monero.com,active
XMR.com,active
EOS.com,active
EOS.com,active
SHIBA INU.com,invalid
SHIB.com,active
Terra.com,active
LUNA.com,active
,invalid
CRO.com,marketed active parked
PancakeSwap.com,active
CAKE.com,active
UNUS SED LEO.com,invalid
LEO.com,active
FTX Token.com,invalid
FTT.com,active
Algorand.com,active
ALGO.com,active
Maker.com,active
MKR.com,marketed active parked
Cosmos.com,active
ATOM.com,active
Bitcoin SV.com,invalid
BSV.com,active
Neo.com,active
NEO.com,active
Bitcoin BEP2.com,invalid
BTCB.com,active
Klaytn.com,active
KLAY.com,active
Amp.com,active
AMP.com,active
Compound.com,marketed priced active parked
COMP.com,active
Tezos.com,active
XTZ.com,active
IOTA.com,marketed priced active
MIOTA.com,marketed priced transferable active
Avalanche.com,marketed active parked
AVAX.com,active
Theta Fuel.com,invalid
TFUEL.com,active
TerraUSD.com,active
UST.com,active
The Graph.com,invalid
GRT.com,marketed active
Kusama.com,active
KSM.com,marketed active parked
Huobi Token.com,invalid
HT.com,active parked
Elrond.com,active
EGLD.com,active
BitTorrent.com,active
BTT.com,active
Waves.com,active
WAVES.com,active
Decred.com,active
DCR.com,active
Hedera Hashgraph.com,invalid
HBAR.com,active
Celsius.com,active
CEL.com,active
THORChain.com,active
RUNE.com,active
TrueUSD.com,active
TUSD.com,active
Chiliz.com,active
CHZ.com,active
Stacks.com,active
STX.com,active
Zcash.com,marketed priced active parked
ZEC.com,active
Dash.com,active
DASH.com,active
,active
YFI.com,marketed active parked
Synthetix.com,active
SNX.com,marketed active
XinFin Network.com,invalid
XDC.com,active
NEM.com,active
XEM.com,marketed priced active
Decentraland.com,active
MANA.com,active
Helium.com,active
HNT.com,marketed active parked
Telcoin.com,active
TEL.com,active
Enjin Coin.com,invalid
ENJ.com,active
SushiSwap.com,active
SUSHI.com,active
Holo.com,active
HOT.com,active
KuCoin Token.com,invalid
KCS.com,active
Paxos Standard.com,invalid
PAX.com,active
Quant.com,active
QNT.com,active
Nexo.com,active
NEXO.com,active
NEAR Protocol.com,invalid
NEAR.com,marketed active parked
Mdex.com,active
MDX.com,active
Zilliqa.com,active
ZIL.com,active
Basic Attention Token.com,invalid
BAT.com,active
Harmony.com,marketed active parked
ONE.com,active
Bitcoin Gold.com,invalid
BTG.com,active
Celo.com,active
CELO.com,active
Bancor.com,active
BNT.com,active
Axie Infinity.com,invalid
AXS.com,active
Curve DAO Token.com,invalid
CRV.com,active
Revain.com,marketed priced active
REV.com,active
Horizen.com,active
ZEN.com,active
Qtum.com,active
QTUM.com,active
ICON.com,active
ICX.com,active
Siacoin.com,active
SC.com,active
0x.com,active
ZRX.com,marketed active parked
Flow.com,marketed active
FLOW.com,marketed active
Ontology.com,active
ONT.com,active
SwissBorg.com,active
CHSB.com,active
Fantom.com,active
FTM.com,active
OKB.com,active
OKB.com,active
DigiByte.com,marketed priced active
DGB.com,marketed active
OMG Network.com,invalid
OMG.com,active
Nano.com,active
NANO.com,active
BakeryToken.com,marketed priced active parked
BAKE.com,active
UMA.com,active
UMA.com,active
HUSD.com,active
HUSD.com,active
Ankr.com,active
ANKR.com,active
Voyager Token.com,invalid
VGX.com,marketed priced active parked
Ravencoin.com,active
RVN.com,marketed active
1inch.com,active
1INCH.com,active
Neutrino USD.com,invalid
USDN.com,active
Arweave.com,active
AR.com,active zone
renBTC.com,active
RENBTC.com,active
Bitcoin Diamond.com,invalid
BCD.com,active
Ren.com,active
REN.com,active
Verge.com,active
XVG.com,marketed priced active parked
IOST.com,active
IOST.com,active
Livepeer.com,active
LPT.com,active
Reserve Rights.com,invalid
RSR.com,active
WazirX.com,active
WRX.com,marketed priced active parked
Lisk.com,active
LSK.com,active
Kyber Network Crystal Legacy.com,invalid
KNC.com,active
Golem.com,active
GLM.com,active
,active
KAVA.com,active
MaidSafeCoin.com,active
MAID.com,marketed active
Loopring.com,marketed active
LRC.com,marketed active parked
